Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,5,28,23,30,121.390,121.536,121.372,121.509,1688.000,
EURJPY,2017,4,5,28,23,0,121.389,121.421,121.338,121.393,2091.000,
EURJPY,2017,4,5,28,22,30,121.430,121.435,121.360,121.390,2777.000,
EURJPY,2017,4,5,28,22,0,121.361,121.451,121.358,121.429,2742.000,
EURJPY,2017,4,5,28,21,30,121.367,121.439,121.346,121.362,3188.000,
EURJPY,2017,4,5,28,21,0,121.436,121.461,121.365,121.367,2984.000,
EURJPY,2017,4,5,28,20,30,121.524,121.545,121.415,121.437,2230.000,
EURJPY,2017,4,5,28,20,0,121.455,121.546,121.431,121.526,2966.000,
EURJPY,2017,4,5,28,19,30,121.455,121.468,121.395,121.454,2657.000,
EURJPY,2017,4,5,28,19,0,121.410,121.457,121.338,121.457,3611.000,
EURJPY,2017,4,5,28,18,30,121.389,121.469,121.347,121.409,3964.000,
EURJPY,2017,4,5,28,18,0,121.394,121.556,121.273,121.388,6237.000,
EURJPY,2017,4,5,28,17,30,121.525,121.675,121.272,121.395,6898.000,
EURJPY,2017,4,5,28,17,0,121.702,121.761,121.424,121.525,6650.000,
EURJPY,2017,4,5,28,16,30,121.784,121.806,121.615,121.703,6434.000,
EURJPY,2017,4,5,28,16,0,121.738,121.786,121.628,121.780,5037.000,
EURJPY,2017,4,5,28,15,30,121.738,121.939,121.731,121.738,8539.000,
EURJPY,2017,4,5,28,15,0,121.791,121.845,121.686,121.747,4196.000,
EURJPY,2017,4,5,28,14,30,121.764,121.800,121.700,121.793,3285.000,
EURJPY,2017,4,5,28,14,0,121.912,121.922,121.699,121.764,4137.000,
EURJPY,2017,4,5,28,13,30,121.854,121.987,121.844,121.911,2803.000,
EURJPY,2017,4,5,28,13,0,121.943,121.978,121.853,121.854,3171.000,
EURJPY,2017,4,5,28,12,30,121.813,121.994,121.813,121.948,4091.000,
EURJPY,2017,4,5,28,12,0,121.284,121.951,121.283,121.813,8005.000,
EURJPY,2017,4,5,28,11,30,121.286,121.305,121.195,121.287,3980.000,
EURJPY,2017,4,5,28,11,0,121.133,121.323,121.107,121.283,4038.000,
EURJPY,2017,4,5,28,10,30,121.092,121.193,121.074,121.132,3150.000,
